"timestampdiff(HOUR, t_revision.rev_createdTime, t_revision.rev_committedTime)","rev_patchSetNum","rev_changeId"
"55","1","1444"
"0","1","1445"
"266","1","1446"
"0","1","1447"
"0","1","1448"
"0","1","1449"
"0","1","1450"
"0","1","1451"
"2","1","1452"
"0","1","1453"
"0","1","1454"
"0","1","1455"
"0","1","1456"
"0","1","1457"
"0","1","1458"
"20","1","1459"
"0","1","1460"
"0","1","1461"
"0","1","1462"
"0","1","1463"
"0","1","1464"
"0","1","1465"
"0","1","1466"
"0","1","1467"
"0","1","1468"
"0","1","1469"
"0","1","1470"
"0","1","1471"
"0","1","1472"
"1","1","1473"
"2","1","1474"
"6","1","1475"
"0","1","1476"
"0","1","1477"
"0","1","1478"
"0","1","1479"
"0","1","1480"
"0","1","1481"
"1","1","1482"
"6","1","1483"
"0","1","1484"
"0","1","1485"
"0","1","1486"
"0","1","1487"
"0","1","1488"
"0","1","1489"
"0","1","1490"
"0","1","1491"
"0","1","1492"
"3","1","1493"
"4","1","1494"
"4","1","1495"
"0","1","1496"
"0","1","1497"
"0","1","1498"
"0","1","1499"
"28","1","1500"
"0","1","1501"
"1","1","1502"
"0","1","1503"
"8","1","1504"
"0","1","1505"
"0","1","1506"
"0","1","1507"
"211","1","1508"
"0","1","1509"
"0","1","1510"
"0","1","1511"
"0","1","1512"
"0","1","1513"
"0","1","1514"
"0","1","1515"
"0","1","1516"
"0","1","1517"
"0","1","1518"
"0","1","1519"
"0","1","1520"
"0","1","1521"
"0","1","1522"
"1","1","1523"
"1","1","1524"
"0","1","1525"
"0","1","1526"
"45","1","1527"
"0","1","1528"
"0","1","1529"
"0","1","1530"
"0","1","1531"
"0","1","1532"
"0","1","1533"
"0","1","1534"
"0","1","1535"
"0","1","1536"
"0","1","1537"
"17","1","1538"
"0","1","1539"
"0","1","1540"
"0","1","1541"
"0","1","1542"
"0","1","1543"
"0","1","1544"
"0","1","1545"
"0","1","1546"
"0","1","1547"
"0","1","1548"
"0","1","1549"
"0","1","1550"
"0","1","1551"
"0","1","1552"
"0","1","1553"
"0","1","1554"
"0","1","1555"
"0","1","1556"
"0","1","1557"
"0","1","1558"
"0","1","1559"
"0","1","1560"
"0","1","1561"
"0","1","1562"
"0","1","1563"
"0","1","1564"
"0","1","1565"
"0","1","1566"
"0","1","1567"
"11","1","1568"
"89","1","1569"
"0","1","1570"
"0","1","1571"
"0","1","1572"
"0","1","1573"
"0","1","1574"
"0","1","1575"
"2","1","1576"
"3","1","1577"
"0","1","1578"
"0","1","1579"
"0","1","1580"
"0","1","1581"
"0","1","1582"
"1","1","1583"
"0","1","1584"
"0","1","1585"
"0","1","1586"
"0","1","1587"
"20","1","1588"
"4","1","1589"
"0","1","1590"
"12","1","1591"
"0","1","1592"
"0","1","1593"
"0","1","1594"
"0","1","1595"
"0","1","1596"
"0","1","1597"
"0","1","1598"
"0","1","1599"
"0","1","1600"
"67","1","1601"
"59","1","1602"
"0","1","1603"
"0","1","1604"
"0","1","1605"
"0","1","1606"
"0","1","1607"
"0","1","1608"
"0","1","1609"
"67","1","1610"
"0","1","1611"
"0","1","1612"
"0","1","1613"
"0","1","1614"
"7","1","1615"
"0","1","1616"
"0","1","1617"
"0","1","1618"
"1","1","1619"
"6","1","1620"
"9","1","1621"
"10","1","1622"
"65","1","1623"
"66","1","1624"
"78","1","1625"
"10","1","1626"
"10","1","1627"
"10","1","1628"
"0","1","1629"
"0","1","1630"
"0","1","1631"
"0","1","1632"
"0","1","1633"
"0","1","1634"
